Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
hello1,Chrome 102.0.5005.115,,,2022-06-27 23:41:27,2022-06-27 23:44:21,2m - 54.587s,PASSED
,,,,,,,
Test Cases/hello1,Chrome 102.0.5005.115,,,2022-06-27 23:41:37,2022-06-27 23:44:21,2m - 44.819s,PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 23:41:44,2022-06-27 23:43:23,1m - 38.233s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 102.0.5005.115,,,2022-06-27 23:43:23,2022-06-27 23:43:38,14.918s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 102.0.5005.115,,,2022-06-27 23:43:38,2022-06-27 23:43:46,8.270s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 102.0.5005.115,,,2022-06-27 23:43:46,2022-06-27 23:43:51,5.100s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 102.0.5005.115,,,2022-06-27 23:43:51,2022-06-27 23:44:17,25.985s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h1_Dashboard""), ""Dashboard"")",Chrome 102.0.5005.115,,,2022-06-27 23:44:17,2022-06-27 23:44:21,4.485s,PASSED
